bit_index,mean_value,positive_rate,entropy
0,-0.6741,0.16295,0.6413204134127191
1,-0.951184,0.024408,0.1655215211125411
2,0.464396,0.732198,0.8382929329070363
3,-0.535512,0.232244,0.7819026357499015
4,-0.803876,0.098062,0.4628220013711464
5,0.707188,0.853594,0.6007727531219859
6,0.495416,0.747708,0.8148906891761454
7,-0.527648,0.236176,0.788623058782228
8,0.55322,0.77661,0.7663094110834687
9,-0.527648,0.236176,0.788623058782228
10,0.803876,0.901938,0.4628220013711464
11,0.56194,0.78097,0.7583923520724396
12,0.252624,0.626312,0.953461803717413
13,0.674956,0.837478,0.6403089854012693
14,-0.707188,0.146406,0.6007727531219859
15,0.803876,0.901938,0.4628220013711464
16,0.527648,0.763824,0.7886230587822283
17,-0.252624,0.373688,0.953461803717413
18,0.527648,0.763824,0.7886230587822283
19,0.812596,0.906298,0.4487073642676676
20,0.495416,0.747708,0.8148906891761454
21,-0.456532,0.271734,0.8439418277080188
22,-0.779508,0.110246,0.5006575228040073
23,-0.666236,0.166882,0.6505221694209273
24,0.73276,0.86638,0.5672831199242285
25,-0.6741,0.16295,0.6413204134127191
26,0.749344,0.874672,0.5444845466068235
27,-0.284856,0.357572,0.9406492919680538
28,0.6741,0.83705,0.6413204134127192
29,0.771644,0.885822,0.5123908501789547
30,-0.6741,0.16295,0.6413204134127191
31,0.983416,0.991708,0.06924451181734537
32,0.56194,0.78097,0.7583923520724396
33,0.6741,0.83705,0.6413204134127192
34,0.707188,0.853594,0.6007727531219859
35,0.803876,0.901938,0.4628220013711464
36,0.527648,0.763824,0.7886230587822283
37,0.707188,0.853594,0.6007727531219859
38,0.284856,0.642428,0.9406492919680538
39,0.6741,0.83705,0.6413204134127192
40,0.779508,0.889754,0.5006575228040072
41,0.56194,0.78097,0.7583923520724396
42,0.527648,0.763824,0.7886230587822283
43,-0.749344,0.125328,0.5444845466068235
44,0.707188,0.853594,0.6007727531219859
45,-0.68282,0.15859,0.63092569111122
46,-0.666236,0.166882,0.6505221694209273
47,-0.423444,0.288278,0.8664864243209797
48,0.6741,0.83705,0.6413204134127192
49,0.6741,0.83705,0.6413204134127192
50,-0.73276,0.13362,0.5672831199242286
51,-0.6741,0.16295,0.6413204134127191
52,0.803876,0.901938,0.4628220013711464
53,-0.464396,0.267802,0.8382929329070363
54,-0.6741,0.16295,0.6413204134127191
55,-0.707188,0.146406,0.6007727531219859
56,-0.56194,0.21903,0.7583923520724396
57,-0.74148,0.12926,0.5554052340042999
58,0.674956,0.837478,0.6403089854012693
59,-0.432164,0.283918,0.8607345887144593
60,0.666236,0.833118,0.6505221694209273
61,0.674956,0.837478,0.6403089854012693
62,-0.284856,0.357572,0.9406492919680538
63,0.464396,0.732198,0.8382929329070363
64,-0.749344,0.125328,0.5444845466068235
65,-0.49456,0.25272,0.8155608278147763
66,-0.527648,0.236176,0.788623058782228
67,0.771644,0.885822,0.5123908501789547
68,0.536368,0.768184,0.7811635915470337
69,-0.50328,0.24836,0.808668423419373
70,0.666236,0.833118,0.6505221694209273
71,-0.456532,0.271734,0.8439418277080188
72,0.674956,0.837478,0.6403089854012693
73,-0.50328,0.24836,0.808668423419373
74,-0.527648,0.236176,0.788623058782228
75,0.73276,0.86638,0.5672831199242285
76,0.803876,0.901938,0.4628220013711464
77,-0.6741,0.16295,0.6413204134127191
78,-0.527648,0.236176,0.788623058782228
79,0.527648,0.763824,0.7886230587822283
80,-0.486696,0.256652,0.8216520516312923
81,0.6741,0.83705,0.6413204134127192
82,-0.536368,0.231816,0.7811635915470336
83,-0.473116,0.263442,0.8318961053856782
84,-0.252624,0.373688,0.953461803717413
85,0.771644,0.885822,0.5123908501789547
86,-0.432164,0.283918,0.8607345887144593
87,0.527648,0.763824,0.7886230587822283
88,0.252624,0.626312,0.953461803717413
89,0.536368,0.768184,0.7811635915470337
90,-0.464396,0.267802,0.8382929329070363
91,-0.535512,0.232244,0.7819026357499015
92,-0.6741,0.16295,0.6413204134127191
93,-0.56194,0.21903,0.7583923520724396
94,0.707188,0.853594,0.6007727531219859
95,-0.666236,0.166882,0.6505221694209273
96,0.535512,0.767756,0.7819026357499015
97,-0.527648,0.236176,0.788623058782228
98,-0.779508,0.110246,0.5006575228040073
99,-0.535512,0.232244,0.7819026357499015
100,0.674956,0.837478,0.6403089854012693
101,-0.715032,0.142484,0.5907073974528506
102,-0.527648,0.236176,0.788623058782228
103,-0.495416,0.252292,0.8148906891761454
104,0.771644,0.885822,0.5123908501789547
105,0.803876,0.901938,0.4628220013711464
106,0.812596,0.906298,0.4487073642676676
107,-0.74148,0.12926,0.5554052340042999
108,0.464396,0.732198,0.8382929329070363
109,-0.535512,0.232244,0.7819026357499015
110,0.495416,0.747708,0.8148906891761454
111,-0.6741,0.16295,0.6413204134127191
112,-0.73276,0.13362,0.5672831199242286
113,-0.6741,0.16295,0.6413204134127191
114,0.73276,0.86638,0.5672831199242285
115,0.983416,0.991708,0.06924451181734537
116,-0.432164,0.283918,0.8607345887144593
117,0.569804,0.784902,0.7511150374752427
118,-0.68282,0.15859,0.63092569111122
119,-0.68282,0.15859,0.63092569111122
120,0.674956,0.837478,0.6403089854012693
121,-0.73276,0.13362,0.5672831199242286
122,-0.486696,0.256652,0.8216520516312923
123,0.495416,0.747708,0.8148906891761454
124,0.68282,0.84141,0.63092569111122
125,-0.674956,0.162522,0.6403089854012692
126,0.6741,0.83705,0.6413204134127192
127,-0.666236,0.166882,0.6505221694209273
128,0.561084,0.780542,0.7591765912816288
129,0.803876,0.901938,0.4628220013711464
130,-0.73276,0.13362,0.5672831199242286
131,0.779508,0.889754,0.5006575228040072
132,0.803876,0.901938,0.4628220013711464
133,0.486696,0.743348,0.8216520516312923
134,-0.771644,0.114178,0.5123908501789547
135,-0.666236,0.166882,0.6505221694209273
136,0.50328,0.75164,0.8086684234193731
137,-0.942464,0.028768,0.1881753046849809
138,-0.779508,0.110246,0.5006575228040073
139,0.771644,0.885822,0.5123908501789547
140,-0.464396,0.267802,0.8382929329070363
141,0.6741,0.83705,0.6413204134127192
142,0.464396,0.732198,0.8382929329070363
143,-0.707188,0.146406,0.6007727531219859
144,-0.527648,0.236176,0.788623058782228
145,-0.6741,0.16295,0.6413204134127191
146,0.527648,0.763824,0.7886230587822283
147,-0.803876,0.098062,0.4628220013711464
148,0.707188,0.853594,0.6007727531219859
149,0.674956,0.837478,0.6403089854012693
150,0.536368,0.768184,0.7811635915470337
151,-0.666236,0.166882,0.6505221694209273
152,-0.707188,0.146406,0.6007727531219859
153,-0.49456,0.25272,0.8155608278147763
154,-0.495416,0.252292,0.8148906891761454
155,-0.715032,0.142484,0.5907073974528506
156,-0.74148,0.12926,0.5554052340042999
157,-0.495416,0.252292,0.8148906891761454
158,-0.803876,0.098062,0.4628220013711464
159,-0.707188,0.146406,0.6007727531219859
160,-0.536368,0.231816,0.7811635915470336
161,-0.49456,0.25272,0.8155608278147763
162,0.464396,0.732198,0.8382929329070363
163,0.666236,0.833118,0.6505221694209273
164,0.50328,0.75164,0.8086684234193731
165,0.779508,0.889754,0.5006575228040072
166,-0.4243,0.28785,0.8659277309724589
167,0.536368,0.768184,0.7811635915470337
168,-0.749344,0.125328,0.5444845466068235
169,0.779508,0.889754,0.5006575228040072
170,0.528852,0.764426,0.7876021953101857
171,0.544232,0.772116,0.7743043637321269
172,-0.49456,0.25272,0.8155608278147763
173,0.762924,0.881462,0.5251437391465936
174,-0.707188,0.146406,0.6007727531219859
175,0.6741,0.83705,0.6413204134127192
176,0.707188,0.853594,0.6007727531219859
177,-0.674956,0.162522,0.6403089854012692
178,-0.666236,0.166882,0.6505221694209273
179,-0.707188,0.146406,0.6007727531219859
180,-0.6741,0.16295,0.6413204134127191
181,0.812596,0.906298,0.4487073642676676
182,-0.527648,0.236176,0.788623058782228
183,0.527648,0.763824,0.7886230587822283
184,-0.73276,0.13362,0.5672831199242286
185,0.812596,0.906298,0.4487073642676676
186,-0.284856,0.357572,0.9406492919680538
187,0.666236,0.833118,0.6505221694209273
188,-0.68282,0.15859,0.63092569111122
189,0.56194,0.78097,0.7583923520724396
190,0.495416,0.747708,0.8148906891761454
191,-0.284856,0.357572,0.9406492919680538
192,-0.942464,0.028768,0.1881753046849809
193,0.284856,0.642428,0.9406492919680538
194,-0.666236,0.166882,0.6505221694209273
195,-0.942464,0.028768,0.1881753046849809
196,0.707188,0.853594,0.6007727531219859
197,-0.707188,0.146406,0.6007727531219859
198,-0.6741,0.16295,0.6413204134127191
199,-0.749344,0.125328,0.5444845466068235
200,0.536368,0.768184,0.7811635915470337
201,-0.6741,0.16295,0.6413204134127191
202,-0.771644,0.114178,0.5123908501789547
203,0.527648,0.763824,0.7886230587822283
204,0.535512,0.767756,0.7819026357499015
205,-0.803876,0.098062,0.4628220013711464
206,0.762924,0.881462,0.5251437391465936
207,-0.779508,0.110246,0.5006575228040073
208,-0.803876,0.098062,0.4628220013711464
209,0.55322,0.77661,0.7663094110834687
210,0.527648,0.763824,0.7886230587822283
211,0.536368,0.768184,0.7811635915470337
212,0.56194,0.78097,0.7583923520724396
213,-0.674956,0.162522,0.6403089854012692
214,0.56194,0.78097,0.7583923520724396
215,0.779508,0.889754,0.5006575228040072
216,0.423444,0.711722,0.8664864243209798
217,0.983416,0.991708,0.06924451181734537
218,0.535512,0.767756,0.7819026357499015
219,-0.527648,0.236176,0.788623058782228
220,-0.666236,0.166882,0.6505221694209273
221,-0.779508,0.110246,0.5006575228040073
222,0.707188,0.853594,0.6007727531219859
223,-0.55322,0.22339,0.7663094110834687
224,-0.666236,0.166882,0.6505221694209273
225,0.527648,0.763824,0.7886230587822283
226,-0.983416,0.008292,0.06924451181734556
227,-0.6741,0.16295,0.6413204134127191
228,0.666236,0.833118,0.6505221694209273
229,-0.6741,0.16295,0.6413204134127191
230,-0.49456,0.25272,0.8155608278147763
231,-0.520988,0.239506,0.794217809108885
232,-0.666236,0.166882,0.6505221694209273
233,-0.464396,0.267802,0.8382929329070363
234,0.812596,0.906298,0.4487073642676676
235,0.495416,0.747708,0.8148906891761454
236,-0.527648,0.236176,0.788623058782228
237,-0.762924,0.118538,0.5251437391465936
238,0.700528,0.850264,0.6091792501189194
239,-0.535512,0.232244,0.7819026357499015
240,-0.6741,0.16295,0.6413204134127191
241,0.812596,0.906298,0.4487073642676676
242,0.707188,0.853594,0.6007727531219859
243,0.535512,0.767756,0.7819026357499015
244,-0.762924,0.118538,0.5251437391465936
245,0.779508,0.889754,0.5006575228040072
246,-0.707188,0.146406,0.6007727531219859
247,0.49456,0.74728,0.8155608278147761
248,-0.771644,0.114178,0.5123908501789547
249,0.495416,0.747708,0.8148906891761454
250,0.561084,0.780542,0.7591765912816288
251,-0.771644,0.114178,0.5123908501789547
252,-0.707188,0.146406,0.6007727531219859
253,-0.749344,0.125328,0.5444845466068235
254,0.495416,0.747708,0.8148906891761454
255,0.6741,0.83705,0.6413204134127192
256,-0.771644,0.114178,0.5123908501789547
257,-0.666236,0.166882,0.6505221694209273
258,0.803876,0.901938,0.4628220013711464
259,-0.464396,0.267802,0.8382929329070363
260,0.707188,0.853594,0.6007727531219859
261,0.803876,0.901938,0.4628220013711464
262,-0.464396,0.267802,0.8382929329070363
263,0.666236,0.833118,0.6505221694209273
264,-0.536368,0.231816,0.7811635915470336
265,-0.771644,0.114178,0.5123908501789547
266,-0.762924,0.118538,0.5251437391465936
267,-0.56194,0.21903,0.7583923520724396
268,0.674956,0.837478,0.6403089854012693
269,0.486696,0.743348,0.8216520516312923
270,0.666236,0.833118,0.6505221694209273
271,-0.535512,0.232244,0.7819026357499015
272,0.284856,0.642428,0.9406492919680538
273,0.674956,0.837478,0.6403089854012693
274,0.707188,0.853594,0.6007727531219859
275,-0.666236,0.166882,0.6505221694209273
276,-0.276992,0.361504,0.9439245443200717
277,0.6741,0.83705,0.6413204134127192
278,-0.561084,0.219458,0.7591765912816286
279,0.812596,0.906298,0.4487073642676676
280,0.707188,0.853594,0.6007727531219859
281,0.749344,0.874672,0.5444845466068235
282,-0.771644,0.114178,0.5123908501789547
283,-0.535512,0.232244,0.7819026357499015
284,0.50328,0.75164,0.8086684234193731
285,0.276992,0.638496,0.9439245443200717
286,0.6741,0.83705,0.6413204134127192
287,-0.812596,0.093702,0.44870736426766766
288,-0.812596,0.093702,0.44870736426766766
289,0.707188,0.853594,0.6007727531219859
290,0.464396,0.732198,0.8382929329070363
291,0.561084,0.780542,0.7591765912816288
292,-0.527648,0.236176,0.788623058782228
293,0.4243,0.71215,0.8659277309724589
294,0.951184,0.975592,0.16552152111254104
295,-0.715032,0.142484,0.5907073974528506
296,-0.465252,0.267374,0.8376712020701157
297,0.73276,0.86638,0.5672831199242285
298,0.779508,0.889754,0.5006575228040072
299,-0.49456,0.25272,0.8155608278147763
300,0.983416,0.991708,0.06924451181734537
301,-0.535512,0.232244,0.7819026357499015
302,0.707188,0.853594,0.6007727531219859
303,-0.666236,0.166882,0.6505221694209273
304,-0.527648,0.236176,0.788623058782228
305,-0.55322,0.22339,0.7663094110834687
306,0.666236,0.833118,0.6505221694209273
307,-0.464396,0.267802,0.8382929329070363
308,-0.779508,0.110246,0.5006575228040073
309,-0.771644,0.114178,0.5123908501789547
310,0.666236,0.833118,0.6505221694209273
311,-0.6741,0.16295,0.6413204134127191
312,0.666236,0.833118,0.6505221694209273
313,-0.666236,0.166882,0.6505221694209273
314,-0.6741,0.16295,0.6413204134127191
315,0.771644,0.885822,0.5123908501789547
316,-0.432164,0.283918,0.8607345887144593
317,0.812596,0.906298,0.4487073642676676
318,0.779508,0.889754,0.5006575228040072
319,-0.779508,0.110246,0.5006575228040073
320,-0.771644,0.114178,0.5123908501789547
321,0.464396,0.732198,0.8382929329070363
322,-0.6741,0.16295,0.6413204134127191
323,0.55322,0.77661,0.7663094110834687
324,-0.56194,0.21903,0.7583923520724396
325,0.465252,0.732626,0.8376712020701157
326,-0.68282,0.15859,0.63092569111122
327,0.6741,0.83705,0.6413204134127192
328,0.666236,0.833118,0.6505221694209273
329,-0.55322,0.22339,0.7663094110834687
330,0.803876,0.901938,0.4628220013711464
331,-0.771644,0.114178,0.5123908501789547
332,0.666236,0.833118,0.6505221694209273
333,0.527648,0.763824,0.7886230587822283
334,0.942464,0.971232,0.18817530468498098
335,-0.666236,0.166882,0.6505221694209273
336,0.674956,0.837478,0.6403089854012693
337,-0.771644,0.114178,0.5123908501789547
338,-0.284856,0.357572,0.9406492919680538
339,0.6741,0.83705,0.6413204134127192
340,0.6741,0.83705,0.6413204134127192
341,0.779508,0.889754,0.5006575228040072
342,0.707188,0.853594,0.6007727531219859
343,0.6741,0.83705,0.6413204134127192
344,0.527648,0.763824,0.7886230587822283
345,-0.6741,0.16295,0.6413204134127191
346,0.68282,0.84141,0.63092569111122
347,-0.666236,0.166882,0.6505221694209273
348,0.771644,0.885822,0.5123908501789547
349,-0.951184,0.024408,0.1655215211125411
350,-0.464396,0.267802,0.8382929329070363
351,-0.561084,0.219458,0.7591765912816286
352,0.536368,0.768184,0.7811635915470337
353,0.812596,0.906298,0.4487073642676676
354,0.666236,0.833118,0.6505221694209273
355,0.423444,0.711722,0.8664864243209798
356,0.520988,0.760494,0.794217809108885
357,-0.666236,0.166882,0.6505221694209273
358,0.749344,0.874672,0.5444845466068235
359,0.495416,0.747708,0.8148906891761454
360,0.535512,0.767756,0.7819026357499015
361,0.50328,0.75164,0.8086684234193731
362,0.803876,0.901938,0.4628220013711464
363,-0.771644,0.114178,0.5123908501789547
364,0.666236,0.833118,0.6505221694209273
365,-0.771644,0.114178,0.5123908501789547
366,0.771644,0.885822,0.5123908501789547
367,0.812596,0.906298,0.4487073642676676
368,0.284856,0.642428,0.9406492919680538
369,-0.456532,0.271734,0.8439418277080188
370,-0.771644,0.114178,0.5123908501789547
371,0.779508,0.889754,0.5006575228040072
372,0.68282,0.84141,0.63092569111122
373,-0.536368,0.231816,0.7811635915470336
374,0.536368,0.768184,0.7811635915470337
375,0.464396,0.732198,0.8382929329070363
376,0.81174,0.90587,0.4501070112245288
377,0.495416,0.747708,0.8148906891761454
378,0.803876,0.901938,0.4628220013711464
379,-0.527648,0.236176,0.788623058782228
380,0.68282,0.84141,0.63092569111122
381,-0.674956,0.162522,0.6403089854012692
382,0.74148,0.87074,0.5554052340042999
383,0.50328,0.75164,0.8086684234193731
384,0.749344,0.874672,0.5444845466068235
385,-0.707188,0.146406,0.6007727531219859
386,0.520132,0.760066,0.7949305064627987
387,-0.771644,0.114178,0.5123908501789547
388,0.6741,0.83705,0.6413204134127192
389,0.456532,0.728266,0.8439418277080191
390,-0.803876,0.098062,0.4628220013711464
391,0.527648,0.763824,0.7886230587822283
392,-0.707188,0.146406,0.6007727531219859
393,-0.495416,0.252292,0.8148906891761454
394,-0.6741,0.16295,0.6413204134127191
395,0.803876,0.901938,0.4628220013711464
396,-0.6741,0.16295,0.6413204134127191
397,-0.486696,0.256652,0.8216520516312923
398,-0.49456,0.25272,0.8155608278147763
399,-0.527648,0.236176,0.788623058782228
400,-0.535512,0.232244,0.7819026357499015
401,-0.423444,0.288278,0.8664864243209797
402,-0.803876,0.098062,0.4628220013711464
403,-0.771644,0.114178,0.5123908501789547
404,-0.56194,0.21903,0.7583923520724396
405,-0.73276,0.13362,0.5672831199242286
406,-0.771644,0.114178,0.5123908501789547
407,-0.707188,0.146406,0.6007727531219859
408,-0.666236,0.166882,0.6505221694209273
409,-0.252624,0.373688,0.953461803717413
410,-0.6741,0.16295,0.6413204134127191
411,-0.456532,0.271734,0.8439418277080188
412,0.6741,0.83705,0.6413204134127192
413,-0.50328,0.24836,0.808668423419373
414,-0.771644,0.114178,0.5123908501789547
415,0.6741,0.83705,0.6413204134127192
416,0.73276,0.86638,0.5672831199242285
417,-0.56194,0.21903,0.7583923520724396
418,0.666236,0.833118,0.6505221694209273
419,-0.666236,0.166882,0.6505221694209273
420,-0.535512,0.232244,0.7819026357499015
421,0.520988,0.760494,0.794217809108885
422,0.561084,0.780542,0.7591765912816288
423,-0.49456,0.25272,0.8155608278147763
424,0.666236,0.833118,0.6505221694209273
425,-0.495416,0.252292,0.8148906891761454
426,-0.771644,0.114178,0.5123908501789547
427,-0.55322,0.22339,0.7663094110834687
428,0.803876,0.901938,0.4628220013711464
429,-0.6741,0.16295,0.6413204134127191
430,-0.707188,0.146406,0.6007727531219859
431,0.666236,0.833118,0.6505221694209273
432,-0.528852,0.235574,0.7876021953101858
433,-0.535512,0.232244,0.7819026357499015
434,0.56194,0.78097,0.7583923520724396
435,0.49456,0.74728,0.8155608278147761
436,-0.527648,0.236176,0.788623058782228
437,-0.527648,0.236176,0.788623058782228
438,0.536368,0.768184,0.7811635915470337
439,0.527648,0.763824,0.7886230587822283
440,-0.527648,0.236176,0.788623058782228
441,-0.55322,0.22339,0.7663094110834687
442,0.74148,0.87074,0.5554052340042999
443,0.520132,0.760066,0.7949305064627987
444,-0.674956,0.162522,0.6403089854012692
445,-0.666236,0.166882,0.6505221694209273
446,-0.535512,0.232244,0.7819026357499015
447,0.56194,0.78097,0.7583923520724396
448,0.423444,0.711722,0.8664864243209798
449,0.520988,0.760494,0.794217809108885
450,0.536368,0.768184,0.7811635915470337
451,-0.464396,0.267802,0.8382929329070363
452,0.456532,0.728266,0.8439418277080191
453,0.942464,0.971232,0.18817530468498098
454,-0.527648,0.236176,0.788623058782228
455,-0.536368,0.231816,0.7811635915470336
456,-0.73276,0.13362,0.5672831199242286
457,-0.68282,0.15859,0.63092569111122
458,0.456532,0.728266,0.8439418277080191
459,0.81174,0.90587,0.4501070112245288
460,0.707188,0.853594,0.6007727531219859
461,-0.68282,0.15859,0.63092569111122
462,0.49456,0.74728,0.8155608278147761
463,-0.691808,0.154096,0.6199963284568553
464,0.527648,0.763824,0.7886230587822283
465,0.527648,0.763824,0.7886230587822283
466,-0.535512,0.232244,0.7819026357499015
467,0.666236,0.833118,0.6505221694209273
468,-0.6741,0.16295,0.6413204134127191
469,-0.49456,0.25272,0.8155608278147763
470,-0.707188,0.146406,0.6007727531219859
471,-0.771644,0.114178,0.5123908501789547
472,-0.6741,0.16295,0.6413204134127191
473,-0.6741,0.16295,0.6413204134127191
474,-0.49456,0.25272,0.8155608278147763
475,0.49456,0.74728,0.8155608278147761
476,-0.50328,0.24836,0.808668423419373
477,0.771644,0.885822,0.5123908501789547
478,-0.749344,0.125328,0.5444845466068235
479,0.456532,0.728266,0.8439418277080191
480,0.707188,0.853594,0.6007727531219859
481,0.707188,0.853594,0.6007727531219859
482,-0.527648,0.236176,0.788623058782228
483,0.812596,0.906298,0.4487073642676676
484,0.50328,0.75164,0.8086684234193731
485,-0.6741,0.16295,0.6413204134127191
486,0.561084,0.780542,0.7591765912816288
487,-0.527648,0.236176,0.788623058782228
488,0.707188,0.853594,0.6007727531219859
489,-0.50328,0.24836,0.808668423419373
490,-0.569804,0.215098,0.7511150374752427
491,0.770788,0.885394,0.5136545984692212
492,-0.276992,0.361504,0.9439245443200717
493,0.779508,0.889754,0.5006575228040072
494,-0.520988,0.239506,0.794217809108885
495,0.536368,0.768184,0.7811635915470337
496,0.674956,0.837478,0.6403089854012693
497,0.527648,0.763824,0.7886230587822283
498,-0.527648,0.236176,0.788623058782228
499,-0.74148,0.12926,0.5554052340042999
500,0.707188,0.853594,0.6007727531219859
501,-0.803876,0.098062,0.4628220013711464
502,-0.951184,0.024408,0.1655215211125411
503,-0.6741,0.16295,0.6413204134127191
504,0.536368,0.768184,0.7811635915470337
505,-0.243904,0.378048,0.9566517115743365
506,0.812596,0.906298,0.4487073642676676
507,-0.674956,0.162522,0.6403089854012692
508,-0.812596,0.093702,0.44870736426766766
509,-0.527648,0.236176,0.788623058782228
510,0.456532,0.728266,0.8439418277080191
511,0.49456,0.74728,0.8155608278147761
